institute,rank,score,state,zone,sector,year,,,,,,,,,,,,,,,,,,,,,,
"School of Management, MIT World Peace University, Pune",144,567.2,Maharashtra,West,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Doon Business School, Dehradun",145,566.9,Uttarakhand,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Vignana Jyothi Institute of Management, Hyderabad",146,566.3,Telangana,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Management Studies, Reva University, Bengaluru ",147,566.1,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"School of Business, Galgotias University, Greater Noida",148,565.2,Uttar Pradesh,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Institute of Management & Information Science, Bhubaneswar",149,564.6,Odisha,East,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Vivekananda Institute of Management Studies, Coimbatore",150,564.3,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Institute of Health Management Research, Bangalore",151,564.2,Karnataka,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Sri Sairam Institute of Management Studies, Chennai",152,564,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Dr. SNS Rajalakshmi College of Arts and Science, Coimbatore",153,562.5,Tamil Nadu,South,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Faculty of Commerce and Management, Maharaja Agrasen Himalayan Garhwal University, Pauri Garhwal",154,562.4,Uttarakhand,North,P,2020,,,,,,,,,,,,,,,,,,,,,,
"Siva Sivani Institute of Management, Hyderabad",155,562.2,Telangana,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"Saintgits Institute of Management, Kottayam",156,562,Kerala,South,P,2019,,,,,,,,,,,,,,,,,,,,,,
"IPS Academy, Institute of Business Management and Research, Indore",157,560.7,Madhya Pradesh,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
Chandragupt Institute of Management Patna ,158,558.5,Bihar,East,G,2019,,,,,,,,,,,,,,,,,,,,,,
"Vivekanand Education Society’s Business School, Mumbai",159,558.2,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"SASMIRA’s Institute of Management Studies and Research, Mumbai",160,557,Maharashtra,West,P,2019,,,,,,,,,,,,,,,,,,,,,,
"ICFAI University Tripura, Agartala",161,556.4,Tripura,East,P,2019,,,,,,,,,,,,,,,,,,,,,,
